,index,Col1,Col2,Col3,Col4,Col5,mc1,mc2,mc3,mc4,mc5,m11,m12,m13,m14,m15
0,0,-0.0475604310631752,-0.03922858089208602,-0.0276764202862978,-0.00787310115993023,-1.0708724573760264e-07,,,,,,,,,,
1,1,-0.05206560343503952,-0.04293855279684066,-0.030461534857749935,-0.009899158030748367,-9.545291845824978e-08,-0.04981301724910736,-0.04108356684446334,-0.02906897757202387,-0.008886129595339298,-1.012700820979262e-07,-0.0475604310631752,-0.03922858089208602,-0.0276764202862978,-0.00787310115993023,-9.545291845824978e-08
2,2,-0.049898911267519,-0.0411495566368103,-0.02916424348950386,-0.00897552352398634,-1.0509199910302412e-07,-0.05098225735127926,-0.042044054716825485,-0.0298128891736269,-0.009437340777367353,-1.0027245878063695e-07,-0.049898911267519,-0.0411495566368103,-0.02916424348950386,-0.00897552352398634,-9.545291845824978e-08
3,3,-0.04860604181885719,-0.04005187749862671,-0.028360025957226757,-0.008498963899910452,-1.1927198784178472e-07,-0.049252476543188095,-0.040600717067718506,-0.028762134723365307,-0.008737243711948395,-1.1218199347240443e-07,-0.04860604181885719,-0.04005187749862671,-0.028360025957226757,-0.008498963899910452,-1.0509199910302412e-07
4,4,-0.043887920677661896,-0.035251356661319726,-0.02282918244600296,-0.0031659489031881094,-1.1889869711012581e-07,-0.046246981248259544,-0.03765161707997322,-0.025594604201614857,-0.0058324564015492806,-1.1908534247595526e-07,-0.043887920677661896,-0.035251356661319726,-0.02282918244600296,-0.0031659489031881094,-1.1889869711012581e-07
5,5,-0.02624978870153427,-0.01697397604584694,-0.004240702372044325,0.010918385349214075,9.168935832803982e-08,-0.035068854689598083,-0.026112666353583332,-0.013534942409023643,0.003876218223012983,-1.3604669391042996e-08,-0.02624978870153427,-0.01697397604584694,-0.004240702372044325,0.010918385349214075,9.168935832803982e-08
6,6,-0.021011149510741237,-0.012158331461250782,0.0009458159329369664,0.01691710576415062,7.080852526542003e-08,-0.023630469106137753,-0.01456615375354886,-0.0016474432195536792,0.013917745556682348,8.124894179672992e-08,-0.021011149510741237,-0.012158331461250782,0.0009458159329369664,0.01691710576415062,9.168935832803982e-08
7,7,-0.031153570860624317,-0.022855026647448536,-0.010533662512898443,0.006987636908888817,2.9716842320226533e-08,-0.026082360185682777,-0.01750667905434966,-0.0047939232899807385,0.011952371336519718,5.026268379282328e-08,-0.021011149510741237,-0.012158331461250782,0.0009458159329369664,0.01691710576415062,7.080852526542003e-08
8,8,-0.04312797635793686,-0.03509004041552544,-0.02256856858730316,-0.00335759948939085,-3.9066453183522754e-08,-0.037140773609280586,-0.028972533531486988,-0.016551115550100803,0.0018150187097489834,-4.67480543164811e-09,-0.031153570860624317,-0.022855026647448536,-0.010533662512898443,0.006987636908888817,2.9716842320226533e-08
9,9,-0.0372944176197052,-0.02976750023663044,-0.018957965075969696,-0.0025079052429646254,-1.0433085861905057e-07,-0.04021119698882103,-0.03242877032607794,-0.02076326683163643,-0.0029327523661777377,-7.169865590128666e-08,-0.0372944176197052,-0.02976750023663044,-0.018957965075969696,-0.0025079052429646254,-3.9066453183522754e-08
10,10,-0.04352536424994469,-0.035267919301986694,-0.023157531395554543,-0.003968462347984314,-1.6173349592918385e-07,-0.040409890934824944,-0.03251770976930857,-0.02105774823576212,-0.0032381837954744697,-1.330321772741172e-07,-0.0372944176197052,-0.02976750023663044,-0.018957965075969696,-0.0025079052429646254,-1.0433085861905057e-07
11,11,-0.04822054132819176,-0.039198137819767,-0.026308950036764145,-0.006591441109776497,-1.3506856078038254e-07,-0.04587295278906822,-0.037233028560876846,-0.024733240716159344,-0.005279951728880405,-1.484010283547832e-07,-0.04352536424994469,-0.035267919301986694,-0.023157531395554543,-0.003968462347984314,-1.3506856078038254e-07
12,12,-0.046548746526241296,-0.03782105445861816,-0.02653759717941284,-0.008626749739050865,-1.8635500964592208e-07,-0.04738464392721653,-0.03850959613919258,-0.026423273608088493,-0.007609095424413681,-1.6071178521315233e-07,-0.046548746526241296,-0.03782105445861816,-0.026308950036764145,-0.006591441109776497,-1.3506856078038254e-07
13,13,-0.053123779594898224,-0.043949156999588006,-0.03175372630357742,-0.011502201668918133,-1.7948978836557217e-07,-0.04983626306056976,-0.04088510572910308,-0.029145661741495132,-0.010064475703984499,-1.8292239900574714e-07,-0.046548746526241296,-0.03782105445861816,-0.02653759717941284,-0.008626749739050865,-1.7948978836557217e-07
14,14,-0.049508001655340195,-0.04130697995424271,-0.03030649945139885,-0.011138173751533031,-1.5196573599496332e-07,-0.05131589062511921,-0.04262806847691536,-0.031030112877488136,-0.011320187710225582,-1.6572776218026775e-07,-0.049508001655340195,-0.04130697995424271,-0.03030649945139885,-0.011138173751533031,-1.5196573599496332e-07
15,15,-0.05210626497864723,-0.04306381940841674,-0.030205287039279934,-0.008954619988799095,-1.0131277150549069e-07,-0.05080713331699371,-0.04218539968132973,-0.030255893245339394,-0.010046396870166063,-1.26639253750227e-07,-0.049508001655340195,-0.04130697995424271,-0.030205287039279934,-0.008954619988799095,-1.0131277150549069e-07
16,16,-0.04428969696164131,-0.03589988499879837,-0.023710880428552628,-0.003627793397754431,-4.2076202078078495e-08,-0.04819798097014427,-0.03948185220360756,-0.026958083733916283,-0.006291206693276763,-7.169448679178458e-08,-0.04428969696164131,-0.03589988499879837,-0.023710880428552628,-0.003627793397754431,-4.2076202078078495e-08
17,17,-0.04244617372751236,-0.03404245898127556,-0.02158365212380886,-0.002193799475207925,1.550591477439411e-08,-0.043367935344576836,-0.034971171990036964,-0.022647266276180744,-0.002910796436481178,-1.3285143651842192e-08,-0.04244617372751236,-0.03404245898127556,-0.02158365212380886,-0.002193799475207925,1.550591477439411e-08
18,18,-0.0363054946064949,-0.027794990688562397,-0.014994607307016848,0.0037739062681794167,-1.6698550320271009e-09,-0.03937583416700363,-0.030918724834918976,-0.018289129715412855,0.0007900533964857459,6.918029871183505e-09,-0.0363054946064949,-0.027794990688562397,-0.014994607307016848,0.0037739062681794167,1.550591477439411e-08
19,19,-0.027715139091014866,-0.020382292568683624,-0.009883580729365347,0.006183577235788106,1.3920950614476624e-08,-0.03201031684875488,-0.02408864162862301,-0.012439094018191097,0.004978741751983762,6.125547791224761e-09,-0.027715139091014866,-0.020382292568683624,-0.009883580729365347,0.006183577235788106,1.3920950614476624e-08
20,20,-0.030673036351799965,-0.023213656619191166,-0.011708075180649756,0.005454411264508963,1.986213149507421e-08,-0.029194087721407413,-0.021797974593937397,-0.010795827955007551,0.005818994250148535,1.6891541054775416e-08,-0.027715139091014866,-0.020382292568683624,-0.009883580729365347,0.006183577235788106,1.986213149507421e-08
